Certificate Number,Business Name,DBA Name,Business Type,Business is MWBE Owned,Business is Publicly Traded,Business Officers,Address,Address 2,City,State,Zip Code,Phone,Issued Date,Expiration Date,Status,Business has a NYS DOL Employer Registration Number,Reason business does not have a NYS DOL Employer Registration Number,Business has a WCB Employer Number,Business has outstanding wage assessments,Business has been debarred,Debarment State or Federal Law,Debarment State,Debarment Start Date,Debarment End Date,Business has final determination for violation of Labor or Tax Law,Business has final determination safety standard violations,Business is associated with an apprenticeship program,Business is sponsor of a program,Business is signatory to a group program,Business has Workers Compensation Insurance,Business is exempt from Workers Compensation Insurance,Georeference
25-64LK6-CR,ENCORE CONSTRUCTION  CONTRACTING INC,NO DBA,Corporation,Yes,No,None Listed,52 WARE RD,NOT APPLICABLE,UPPER SADDLE RIVER,NJ,07458,3474221685,1/31/2025,1/31/2027,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-74.11696 41.05233)
24-64F46-CR,ENCORE HOLDINGS LLC,ENCORE FIRE PROTECTION,LLC,No,No,None Listed,25 ORVILLE AVE,NOT APPLICABLE,BOHEMIA,NY,11716,8009660000,12/23/2024,12/29/2026,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-73.10161 40.78073)
24-648AZ-CR,ENCORUS GROUP ENGINEERING PC,NO DBA,Corporation,No,No,None Listed,PO BOX 344,NOT APPLICABLE,SPRINGVILLE,NY,14141,7165923980,12/29/2024,12/29/2026,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,Unknown
25-64QKK-CR,ENDURANCE ELECTRICAL SERVICES LLC,NO DBA,LLP,No,No,None Listed,4857 ELLICOTT ST RD,NOT APPLICABLE,BATAVIA,NY,14020,5855656191,1/14/2025,1/14/2027,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-78.15988 42.97921)
24-64GLU-CR,ENDURANCE SPORTS FLOORS NY LLC,ENDURANCE SPORTS FLOORS NY LLC,LLC,No,No,None Listed,35 COLBY AVE,SUITE 1,MANASQUAN,NY,08736,7328003700,12/26/2024,12/26/2026,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,Yes,Yes,No,Yes,No,POINT (-74.04681 40.12258)
25-64JSK-CR,ENECON NORTHEAST APPLIED POLYMER SYSTEMS INC,NO DBA,Corporation,No,No,None Listed,150 SCHMITT BLVD,NOT APPLICABLE,FARMINGDALE,NY,11735,6314147818,1/2/2025,1/2/2027,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,Yes,No,No,Yes,No,POINT (-73.41567 40.74795)
24-63HVR-CR,ENERGIZE ELECTRICAL CONTRACTING CORP,NO DBA,Corporation,No,No,None Listed,6035 FRESH POND RD,NOT APPLICABLE,MASPETH,NY,11378,7183663730,12/5/2024,12/29/2026,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-73.90156 40.71606)
25-64XCU-CR,ENERGY CONSERVATION SERVICES INC,NO DBA,Corporation,No,No,None Listed,PO BOX 116,NOT APPLICABLE,PORT EWEN,NY,12466,8453383864,1/16/2025,1/16/2027,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,Yes,No,No,Yes,No,Unknown
25-641UX-CR,ENERGY FENCING INC,NO DBA,Corporation,Yes,No,None Listed,614 BRADFORD ST,NOT APPLICABLE,BROOKLYN,NY,11207,3478585093,1/28/2025,1/28/2027,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-73.88987 40.66358)
24-633TB-CR,ENERGY MANAGEMENT TECHNOLOGIES LLC,EMTECH,LLC,No,No,None Listed,5 HEMLOCK ST,NOT APPLICABLE,LATHAM,NY,12110,5187837810,11/26/2024,12/29/2026,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-73.79378 42.73754)
24-64RQL-CR,ENERGY MECHANICAL INC,ENERGY MECHANICAL INC,Corporation,No,No,None Listed,77 BRIGHTSIDE AVE,NOT APPLICABLE,CENTRAL ISLIP,NY,11722,6316293100,12/19/2024,12/29/2026,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,Yes,No,Yes,Yes,No,POINT (-73.21202 40.78673)
24-64FEC-CR,ENERGY SAVERS NY LLC,NO DBA,LLC,No,No,None Listed,809 MAPLE AVE,NOT APPLICABLE,ELMIRA,NY,14904,6077327162,12/21/2024,12/29/2026,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-76.78736 42.07787)
24-648VR-CR,ENGASSER CONSTRUCTION CORP,NO DBA,Corporation,Yes,No,None Listed,1569 BOIES RD,BUILDING 100,EAST AURORA,NY,14052,7166551816,12/27/2024,12/29/2026,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,Yes,No,No,Yes,No,POINT (-78.63785 42.71531)
24-64D8A-CR,ENGIE SERVICES US INC,NO DBA,Corporation,No,No,None Listed,12980 FOSTER ST,SUITE 400,OVERLAND PARK,KS,66213,9132257081,12/18/2024,12/29/2026,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-94.67471 38.89266)
25-64UFJ-CR,ENGINE SYSTEMS INC,DBA MARINE SYSTEMS,Corporation,No,Yes,"Carol  Lucas, Skeeter  Bailey, Michael  Thiel",1401 PRECON DR,SUITE 106,CHESAPEAKE,VA,23320,7575433000,1/29/2025,1/29/2027,Active,No,Out of State,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-76.29348 36.76243)
25-64X9Q-CR,ENHANCED LIGHTING INC,NO DBA,Corporation,No,No,None Listed,1957 LAKEVIEW RD,NOT APPLICABLE,LAKE VIEW,NY,14085,7168988142,1/17/2025,1/17/2027,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-78.93815 42.71208)
24-6367C-CR,ENI MECHANICAL INC,ENI MECHANICAL INC,Corporation,No,No,None Listed,39 S GORDON ST,NOT APPLICABLE,GOUVERNEUR,NY,13642,3152873528,12/11/2024,12/29/2026,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-75.46406 44.33499)
24-63H9T-CR,ENL MECHANICAL INCORPORATED,NO DBA,Corporation,Yes,No,None Listed,134 WEST END AVE,NOT APPLICABLE,SOMERVILLE,NJ,08876,7324565005,12/6/2024,12/29/2026,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,Yes,No,No,Yes,No,POINT (-74.6235 40.5729)
24-64FQJ-CR,ENP ENVIRONMENTAL INC,NO DBA,Corporation,Yes,No,None Listed,3280 SUNRISE HWY,SUITE 72,WANTAGH,NY,11793,5163943400,12/23/2024,12/29/2026,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,Yes,No,No,Yes,No,POINT (-73.50829 40.672)
25-64KGK-CR,ENSOME BUILDERS INC,NO DBA,Corporation,Yes,No,None Listed,25930 149TH RD,NOT APPLICABLE,ROSEDALE,NY,11422,6468213403,1/3/2025,1/3/2027,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-73.729 40.65215)
25-64K49-CR,ENTECH CORP,NO DBA,Corporation,No,No,None Listed,91 RUCKMAN RD,NOT APPLICABLE,CLOSTER,NJ,07624,2017841034,1/6/2025,1/6/2027,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,Yes,No,Yes,Yes,No,POINT (-73.95697 40.97393)
25-64LJC-CR,ENTECH ENGINEERING PC,NO DBA,Corporation,Yes,No,None Listed,17 STATE ST,36TH FLOOR,NEW YORK,NY,10004,6467220000,1/31/2025,1/31/2027,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-74.01431 40.70284)
24-64DKR-CR,ENTECH INFRASTRUCTURE LLC,NO DBA,LLC,No,No,None Listed,91 RUCKMAN RD,NOT APPLICABLE,CLOSTER,NJ,07624,6365302810,12/18/2024,12/18/2026,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,Yes,No,Yes,Yes,No,POINT (-73.95697 40.97393)
25-64ZO3-CR,ENVEE CONSTRUCTION INCORPORATED,NO DBA,Corporation,No,No,None Listed,2 VANNINA PL,NOT APPLICABLE,HUNTINGTON,NY,11743,9173355111,2/11/2025,2/11/2027,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-73.44466 40.81715)
24-63ZK9-CR,ENVIRONMENTAL AND FUELING SYSTEMS LLC,NO DBA,LLC,No,No,None Listed,20 GURLEY AVE,NOT APPLICABLE,TROY,NY,12182,5182728142,11/19/2024,12/29/2026,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,Yes,No,Yes,Yes,No,POINT (-73.66661 42.77763)
24-64DDE-CR,ENVIRONMENTAL CONSERVATION CONSULTING NY LLC,NO DBA,LLC,No,No,None Listed,4628 VERNON BLVD,PMB 537,LONG ISLAND CITY,NY,11101,5162367735,12/18/2024,12/29/2026,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-73.95299 40.74605)
24-635AV-CR,ENVIRONMENTAL CONSTRUCTION GROUP INC,NO DBA,Unknown,No,No,None Listed,14109 WEST AVE,NOT APPLICABLE,ALBION,NY,14411,5856574223,12/4/2024,12/29/2026,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Yes,No,No,No,Yes,No,POINT (-78.21016 43.24074)
25-64K55-CR,ENVIRONMENTAL CONSTRUCTION INC,NO DBA,Corporation,Yes,No,None Listed,PO BOX 563,NOT APPLICABLE,STONY POINT,NY,10980,8454290497,1/6/2025,1/6/2027,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,Unknown
25-64C65-CR,ENVIRONMENTAL CONTRACTING  CONSTRUCTION SERVICES LLC,NO DBA,LLC,No,No,None Listed,33 BYER RD,NOT APPLICABLE,OSWEGO,NY,13126,3154510400,1/10/2025,1/10/2027,Active,No,Other,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-76.53008 43.43643)
24-64EBI-CR,ENVIRONMENTAL MAINTENANCE CONTRACTORS INC,NO DBA,Unknown,No,No,None Listed,333 LEXINGTON AVE,NOT APPLICABLE,MOUNT KISCO,NY,10549,9142327355,12/30/2024,12/30/2026,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-73.73263 41.19685)
24-63AK6-CR,ENVIRONMENTAL PAVING SOLUTIONS LLC,NO DBA,LLC,No,No,None Listed,6701 THOMPSON RD,NOT APPLICABLE,SYRACUSE,NY,13211,3154726902,11/21/2024,12/29/2026,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-76.09768 43.09472)
25-64O6Y-CR,ENVIRONMENTAL PROTECTION  IMPROVEMENT COMPANY LLC,NO DBA,LLC,No,No,None Listed,319 AVE P,NOT APPLICABLE,NEWARK,NJ,07105,9738564418,1/22/2025,1/22/2027,Active,No,Out of State,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-74.12987 40.72342)
24-648QU-CR,ENVIRONMENTAL SERVICES INC,ESI,Corporation,No,No,None Listed,40 ZORN BLVD,NOT APPLICABLE,YAPHANK,NY,11980,6313959888,12/27/2024,12/27/2026,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,No,No,No,No,Yes,No,POINT (-72.94047 40.81126)
25-64XCI-CR,ENVIRONMENTAL TECHNOLOGY SYSTEM INC,NO DBA,Corporation,No,No,None Listed,203 DUPONT ST,NOT APPLICABLE,BROOKLYN,NY,11222,9175601650,1/16/2025,1/16/2027,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-73.95137 40.73621)
24-648A6-CR,ENVIRO TRAC LTD,NO DBA,Unknown,No,No,None Listed,5 OLD DOCK RD,NOT APPLICABLE,YAPHANK,NY,11980,6313006869,12/29/2024,12/29/2026,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-72.94287 40.81911)
24-635NI-CR,ENVISION ARCHITECTS DPC,NO DBA,Corporation,Yes,No,None Listed,10 NORTH PEARL ST,FL 2,ALBANY,NY,12207,5184621848,12/3/2024,12/29/2026,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-73.7525 42.65015)
25-64V4F-CR,EON MECHANICAL INC,NO DBA,Corporation,Yes,No,None Listed,6515 FRESH MEADOW LN,NOT APPLICABLE,FRESH MEADOW,NY,11365,5165708880,1/8/2025,1/8/2027,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-73.79462 40.73571)
24-648PH-CR,E  P HOLDINGS 1 LLC,EVANS  PAUL,LLP,No,No,None Listed,140 DUPONT ST,NOT APPLICABLE,PLAINVIEW,NY,11803,5165760800,12/27/2024,12/29/2026,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-73.46217 40.79831)
24-64EJG-CR,EPIC CONTRACTING INC,NO DBA,Corporation,No,No,None Listed,4991 SCRABBLE HL RD,NOT APPLICABLE,COLLINS,NY,14034,7168185535,12/30/2024,12/30/2026,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Yes,No,No,No,Yes,No,POINT (-78.79581 42.48943)
25-64Q3H-CR,E PLUMBING  PIPING INC,NO DBA,Corporation,No,No,None Listed,10 EISENHAUER DR,NOT APPLICABLE,BROCKPORT,NY,14420,5856378574,1/15/2025,1/15/2027,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,Yes,No,Yes,Yes,No,POINT (-77.91192 43.18384)
24-64YPO-CR,EP MILLING  SWEEPING CO INC,NO DBA,Corporation,No,No,None Listed,150 FLORIDA ST,NOT APPLICABLE,FARMINGDAEL,NY,11735,6317891430,12/12/2024,12/29/2026,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-73.41555 40.71415)
24-64BPI-CR,E POOLE LLC,BARKLEYS SAFE AND LOCK,LLC,No,No,None Listed,16 CT ST,NOT APPLICABLE,CANTON,NY,13617,3153863571,12/16/2024,12/29/2026,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-75.16935 44.59619)
25-64XVT-CR,EPS TECHNOLOGY INC,NO DBA,Corporation,No,No,None Listed,58 PROGRESS PKWY,NOT APPLICABLE,MARYLAND HEIGHTS,MO,63043,7326362426,1/16/2025,1/16/2027,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-90.44721 38.70555)
24-6393J-CR,ER ELECTRIC CORP,NO DBA,Corporation,No,No,None Listed,111 DEVONSHIRE RD,NOT APPLICABLE,LARCHMONT,NY,10538,9144690018,12/12/2024,12/29/2026,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,Yes,Yes,Yes,Yes,No,POINT (-73.7722 40.93996)
24-64BB8-CR,E  R GENERAL CONSTRUCTION INC,NO DBA,Corporation,No,No,None Listed,38 SAINT DAVIDS DR,NOT APPLICABLE,WEST SENECA,NY,14224,7166755277,12/13/2024,12/29/2026,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Yes,Yes,No,Yes,Yes,No,POINT (-78.75764 42.8289)
24-639NG-CR,ERGO AIR MECHANICAL INC,NO DBA,Corporation,Yes,No,None Listed,180 MEACHAM AVE,2ND FLOOR,ELMONT,NY,11003,7182080009,12/11/2024,12/29/2026,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-73.69055 40.70333)
25-64IJG-CR,ERICKSON HEATING  COOLING INC,NO DBA,Corporation,No,No,None Listed,203 HIGH ST,NOT APPLICABLE,CANASTOTA,NY,13032,3154392078,2/4/2025,2/4/2027,Active,No,Sole Proprietor,No,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,No,Yes,POINT (-75.74972 43.07431)
24-637XK-CR,ERIE ELECTRIC CORPORATION,NO DBA,Corporation,No,No,None Listed,56 LOCUST HL DR,NOT APPLICABLE,ROCHESTER,NY,14618,5854208996,12/9/2024,12/29/2026,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,Yes,No,No,Yes,No,POINT (-77.56765 43.09198)
24-634OA-CR,ERIE MECHANICAL CONTRACTORS INC,NO DBA,Corporation,No,No,None Listed,PO BOX 37,NOT APPLICABLE,SYRACUSE,NY,13211,3154543272,12/2/2024,12/29/2026,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,Unknown
24-64RVK-CR,ERIE PAINTING AND MAINTENANCE INC,NO DBA,Corporation,No,No,None Listed,999 REIN RD,NOT APPLICABLE,CHEEKTOWAGA,NY,14225,7166346746,12/19/2024,12/29/2026,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,Yes,No,Yes,Yes,No,POINT (-78.7101 42.93984)
25-64X6C-CR,ERIE TEST AND BALANCE LLC,NO DBA,LLC,No,No,None Listed,56 NARRAGANSETT RD,NOT APPLICABLE,BUFFALO,NY,14220,7163818819,1/17/2025,1/17/2027,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-78.80593 42.83995)
24-64D68-CR,ERNEST NEUMAN STUDIOS LLC,ERNEST NEUMAN STUDIOS,LLC,No,No,None Listed,147 PRINCE ST,APT 32,BROOKLYN,NY,11201,7186251861,12/19/2024,12/29/2026,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,Yes,No,No,Yes,No,POINT (-73.98255 40.69282)
24-64N4D-CR,ERROL DEPOOS TILE AND FLOORING,NO DBA,Sole Proprietorship,No,No,None Listed,205 PARK AVE,NOT APPLICABLE,SCHENECTADY,NY,13304,5183347534,12/17/2024,12/29/2026,Active,No,Sole Proprietor,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-73.9031 42.78954)
25-641JV-CR,ESCO INC,ESCO HEATING  COOLING,Corporation,No,No,None Listed,12 BURDICK DR,NOT APPLICABLE,ALBANY,NY,12205,5184820375,1/27/2025,1/27/2027,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-73.7745 42.68232)
25-64VDX-CR,ES CONTRACTOR SERVICES,NO DBA,LLC,No,No,None Listed,1657 THE FAIRWAY,SUITE 150,JENKINTOWN,PA,19046,5853577000,1/6/2025,1/6/2027,Active,No,Other,No,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,No,Yes,POINT (-75.11868 40.1071)
25-64VSR-CR,ESG INC,NO DBA,Corporation,No,Yes,CONSTANTINOS  IOANNOU,3533 31ST ST,NOT APPLICABLE,ASTORIA,NY,11106,7187280369,1/7/2025,1/7/2027,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-73.92921 40.75725)
24-64DJQ-CR,ES II ENTERPRISES LLC,EL SOL ENTERPRISES,LLC,No,No,None Listed,4306 54TH RD,EL SOL CONTRACTING,MASPETH,NY,11378,7183928800,12/18/2024,12/29/2026,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,Yes,No,Yes,Yes,No,POINT (-73.92459 40.73152)
25-64Z5U-CR,ES INNOVATIVE CONSTRUCTION SERVICES CORP,NO DBA,Corporation,No,No,None Listed,101 DUTCHESS AVE,NOT APPLICABLE,BROOKLYN,NY,10304,7188380611,2/11/2025,2/11/2027,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-74.09915 40.59633)
25-64ZJO-CR,E SMITH CONTRACTORS LLC,NO DBA,LLC,Yes,No,None Listed,108 WEST JEFFERSON ST,SUITE 501,SYRACUSE,NY,13202,3158842940,2/10/2025,2/10/2027,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-76.1527 43.04706)
24-64JB7-CR,ESPANA ENTERPRISES LLC,NO DBA,LLC,No,No,None Listed,174 COLVIN ST,NOT APPLICABLE,ROCHESTER,NY,14611,5857379081,12/31/2024,12/29/2026,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,Yes,Yes,Yes,Yes,No,POINT (-77.64115 43.15399)
25-64KBR-CR,ESPL ENVIRONMENTAL CONSULTANTS CORP,ESPL ENVIRONMENTAL CONSULTANTS,Corporation,Yes,No,None Listed,524 EAST 236TH ST,NOT APPLICABLE,BRONX,NY,10470,2123307501,1/3/2025,1/3/2027,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-73.86281 40.89875)
24-64DVG-CR,ESSCO TRUCK  EQUIPMENT INC,NO DBA,Corporation,No,No,None Listed,20 KINSEY PL,NOT APPLICABLE,STATEN ISLAND,NY,10303,7187206966,12/18/2024,12/29/2026,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,Yes,Yes,Yes,Yes,No,POINT (-74.16962 40.62857)
24-636LO-CR,ESSENTIAL CONSTRUCTION SERVICES LLC,ESSENTIAL CONSTRUCTION SERVICES,Corporation,No,No,None Listed,1941 HARLEM RD,NOT APPLICABLE,CHEEKTAWAGA,NY,14212,7167552532,12/10/2024,12/29/2026,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-78.78422 42.89641)
24-648DE-CR,ESSENTIAL CONSTRUCTS LLC,ESSENTIAL CONSTRUCTS LLC,LLC,No,No,None Listed,6821 COLYER XING,NOT APPLICABLE,VICTOR,NY,14564,5853306443,12/26/2024,12/29/2026,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-77.40522 43.00925)
25-64JAC-CR,ESSENTIAL RESTORATION INC,NO DBA,Corporation,No,No,None Listed,132 BODINE ST,NOT APPLICABLE,STATEN ISLAND,NY,10310,3478428467,1/2/2025,1/2/2027,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-74.12535 40.63522)
25-64U53-CR,ES SYSTEMS INC,ES SYSTEMS INC,Corporation,No,No,None Listed,23 SAGINAW DR,NOT APPLICABLE,ROCHESTER,NY,14623,5854739300,1/30/2025,1/30/2027,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,Yes,Yes,No,Yes,No,POINT (-77.59057 43.08601)
25-64CJJ-CR,ET ENVIRONMENTAL,ET DESIGNBUILD,LLC,No,No,None Listed,3424 PEACHTREE RD NE,SUITE 150,ATLANTA,GA,30326,4049261776,1/9/2025,1/9/2027,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-84.3635 33.8512)
24-64YJV-CR,E TETZ  SONS LLC,NO DBA,Corporation,No,No,None Listed,172 PROSPECT HL RD,NOT APPLICABLE,BREWSTER,NY,10509,8456924486,12/12/2024,12/29/2026,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-73.63212 41.41678)
24-64YSP-CR,ETHAN ALLEN PERSONNEL GROUP INC,ETHAN ALLEN STAFFING,Corporation,No,No,None Listed,59 ACADEMY ST,NOT APPLICABLE,POUGHKEEPSIE,NY,12601,8454719667,12/13/2024,12/29/2026,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Yes,No,No,No,Yes,No,POINT (-73.92672 41.70039)
24-63AAY-CR,ETRE ASSOCIATES LTD,NO DBA,Corporation,No,No,None Listed,567 FIFTH AVE,NOT APPLICABLE,NEW ROCHELLE,NY,10801,9146541060,11/22/2024,12/29/2026,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,Yes,Yes,No,Yes,No,POINT (-73.76818 40.93048)
24-64RKL-CR,ETS CONTRACTING INC,NO DBA,Corporation,No,No,None Listed,160 CLAY ST,NOT APPLICABLE,BROOKLYN,NY,11222,7187066300,12/19/2024,12/29/2026,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,Yes,No,Yes,Yes,No,POINT (-73.95116 40.73666)
24-6375C-CR,EUGENE G SACKETT CO INC,NO DBA,Corporation,No,No,None Listed,PO BOX 60976,NOT APPLICABLE,ROCHESTER,NY,14606,5856473250,12/9/2024,12/29/2026,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,Yes,No,Yes,Yes,No,Unknown
